id,category,ai_slop_pattern,severity,description
1,color,Purple-to-blue gradient as default primary palette,critical,Every AI-generated site defaults to indigo-to-violet gradients regardless of brand or industry
2,color,Indigo-600 (#4F46E5) as universal primary color,critical,The single most overused color in AI-generated interfaces
3,color,Blue-500 (#3B82F6) as universal button color,critical,Default Tailwind blue on every CTA button across all AI outputs
4,color,Pure white (#FFFFFF) backgrounds with zero warmth,critical,Clinical sterile white instead of warm off-whites with subtle hue
5,color,Pure black (#000000) text on pure white,critical,No hue-shifted neutrals — harsh mechanical contrast
6,color,Slate-50 (#F8FAFC) as default off-white background,high,The go-to AI background when not using pure white
7,color,No warm tinting on neutrals,high,Missing cream warm grays beige undertones in neutral palette
8,color,Tailwind default color scale values used verbatim,high,Zero customization — raw Tailwind palette values unchanged
9,color,HSL hue 200-270 saturation for all primaries,medium,Entire primary palette trapped in blue-purple range
10,color,Flat mechanical palettes with no tonal variation,high,No depth no warmth no personality in color choices
11,color,Same accent color for every interactive element,high,No visual hierarchy through color differentiation
12,color,Default Tailwind zinc/gray for all neutral text,medium,Generic gray scale with no brand-specific neutral identity
13,color,Gradient overlays on every hero section,high,Unnecessary gradient overlay on hero backgrounds regardless of content
14,color,Neon cyan-on-dark hacker aesthetic,medium,Cyberpunk cliché applied to non-technical products
15,color,Overuse of indigo violet purple across all elements,critical,The AI color comfort zone — everything trends purple
16,color,No color differentiation between action levels,high,Primary secondary tertiary actions all look identical
17,color,Missing hover state color transitions,medium,Interactive elements don't change color on hover
18,color,No dark mode or system-aware color switching,high,Single theme only no consideration for user preference
19,color,Pastel backgrounds that fail contrast ratios,critical,Beautiful but inaccessible light color backgrounds
20,color,Color palette convergence across all AI sites,critical,Every AI-generated site uses the same 5-6 colors
21,color,Mint green (#4ADE80) as default success accent,medium,The AI success color — overused and predictable
22,color,Amber/yellow as only warning indicator,medium,No nuance in warning state coloration
23,color,Red-500 for all error states without nuance,medium,One-size-fits-all error color regardless of severity
24,color,No brand-specific color identity,critical,Color palette could belong to any company
25,color,Gradient text on headings as default premium effect,medium,Text gradient as a substitute for actual typography design
26,color,Teal-to-emerald gradient as secondary palette,medium,The second-most common AI gradient after purple-blue
27,color,Rose/pink accent as the only warm color,medium,When AI tries warmth it defaults to Tailwind rose
28,color,Monochrome-only palette with single accent,high,Safe boring palette with one pop of color
