ID,Category,Design Element,Description,Human Quality Signal
1,Typography,Hand-drawn letterforms,Letters with visible pen stroke variation and natural wobble,Imperfect stroke width
2,Typography,Irregular baseline,Letters sitting slightly above or below the baseline in a natural rhythm,Organic rhythm
3,Typography,Variable letter spacing,Intentionally uneven kerning that mimics human typesetting,Breathing room variation
4,Typography,Ink bleed effect,Letters that appear to have slight ink spreading into paper texture,Physical process trace
5,Typography,Rough brush strokes,Typefaces with visible brush bristle marks and texture,Tool mark evidence
6,Typography,Handwritten annotations,Margin notes and arrows that look scribbled by hand,Casual human gesture
7,Typography,Letterpress impression,Type that appears pressed into the surface with subtle shadow,Physical depth trace
8,Typography,Skewed characters,Individual letters slightly rotated as if drawn by hand,Natural hand tremor
9,Typography,Overlapping letters,Letters that slightly overlap each other like real handwriting,Human spacing error
10,Typography,Varying x-height,Inconsistent lowercase letter heights across a word,Organic inconsistency
11,Typography,Hand-drawn underlines,Wavy or slightly crooked underline beneath text,Imperfect gesture
12,Typography,Smudged text effect,Letters with slight smudging as if touched while wet,Physical interaction
13,Typography,Erased text remnants,Faint ghost letters showing previous attempts,Process evidence
14,Typography,Stitched typography,Letters that appear sewn with visible thread paths,Manual craft
15,Typography,Woodcut letterforms,Letters with carved wood grain texture and chisel marks,Traditional craft
16,Typography,Charcoal sketch type,Letters with granular charcoal texture and soft edges,Drawing medium trace
17,Typography,Watercolor wash letters,Letters with translucent watercolor bleeding effects,Paint behavior
18,Typography,Neon tube flicker,Hand-bent neon tube letters with slight glow variation,Physical material
19,Typography,Chalkboard writing,Letters with chalk dust particles and board texture,Classroom nostalgia
20,Typography,Typewriter unevenness,Letters with varying darkness and alignment like old typewriters,Mechanical imperfection
21,Texture,Paper grain overlay,Visible paper fiber texture across the entire design,Material authenticity
22,Texture,Film grain noise,Analog film grain that adds organic noise to surfaces,Photographic heritage
23,Texture,Canvas weave pattern,Visible woven canvas texture behind elements,Painter's surface
24,Texture,Concrete roughness,Raw concrete texture with visible aggregate,Brutalist material
25,Texture,Wood grain pattern,Natural wood rings and grain visible in backgrounds,Organic material
26,Texture,Fabric stitch lines,Visible sewing stitches along edges of elements,Handmade clothing
27,Texture,Watercolor paper texture,Rough cold-press paper texture visible through washes,Art supply authenticity
28,Texture,Leather grain,Natural leather pores and wrinkles in UI surfaces,Luxury craft
29,Texture,Stone surface,Granite or marble veining in backgrounds,Natural geology
