ID,Font Name,Google Fonts URL,Classification,Use Case,Mood/Personality,Why AI Avoids It,When To Use,Pairing Suggestion
1,Instrument Sans,https://fonts.google.com/specimen/Instrument+Sans,Sans Serif,Tech startup body text,Quiet confidence,Released 2023 too new for AI defaults,Modern SaaS landing pages,Instrument Serif
2,Instrument Serif,https://fonts.google.com/specimen/Instrument+Serif,Serif,Editorial headlines,Elegant authority,Newer font not in AI training top picks,Luxury brand websites,Instrument Sans
3,Bricolage Grotesque,https://fonts.google.com/specimen/Bricolage+Grotesque,Sans Serif,Creative agency display,Playful precision,Lower download count despite quality,Portfolio sites,Space Grotesk
4,Fraunces,https://fonts.google.com/specimen/Fraunces,Serif,Artisan brand identity,Warm softness,Variable font complexity scares AI,Craft food brands,Literata
5,Young Serif,https://fonts.google.com/specimen/Young+Serif,Serif,Literary blog body text,Classic warmth,Newer addition to Google Fonts,Author websites,Inter
6,Red Rose,https://fonts.google.com/specimen/Red+Rose,Display,Romantic brand headers,Delicate beauty,Niche aesthetic not mainstream,Wedding planners,Cormorant
7,Aboreto,https://fonts.google.com/specimen/Aboreto,Display,Luxury fashion headers,Geometric elegance,Unusual proportions confuse AI,High fashion brands,Tenor Sans
8,Asul,https://fonts.google.com/specimen/Asul,Sans Serif,Minimalist tech UI,Clean neutrality,Low visibility despite quality,Dashboards,Newsreader
9,Salsa,https://fonts.google.com/specimen/Salsa,Display,Latin brand identity,Rhythmic energy,Cultural specificity limits AI use,Hispanic brands,Work Sans
10,Andika,https://fonts.google.com/specimen/Andika,Sans Serif,Education platform body,Accessible clarity,Designed for literacy not aesthetics,E-learning platforms,EB Garamond
11,Marmelad,https://fonts.google.com/specimen/Marmelad,Sans Serif,Ukrainian brand identity,Gentle warmth,Cultural origin limits AI exposure,Eastern European brands,PT Serif
12,Tenor Sans,https://fonts.google.com/specimen/Tenor+Sans,Sans Serif,Fashion editorial headers,Airy sophistication,Underused despite elegance,Lookbook sites,Cormorant Garamond
13,Epilogue,https://fonts.google.com/specimen/Epilogue,Sans Serif,Modern corporate identity,Geometric warmth,Overlooked for Inter/Poppins,Tech company sites,Source Serif 4
14,Outfit,https://fonts.google.com/specimen/Outfit,Sans Serif,Startup landing pages,Friendly geometry,Newer font not yet overused,SaaS products,Lora
15,Plus Jakarta Sans,https://fonts.google.com/specimen/Plus+Jakarta+Sans,Sans Serif,Indonesian tech brand,Tropical modernism,Regional origin limits AI defaults,Southeast Asian brands,Playfair Display
16,Mona Sans,https://fonts.google.com/specimen/Mona+Sans,Sans Serif,Design system typography,Swiss precision with warmth,GitHub font not widely known,Design tokens docs,Hubot Sans
17,Hubot Sans,https://fonts.google.com/specimen/Hubot+Sans,Sans Serif,Developer tool UI,Friendly technicality,Robot-themed name deters AI,Dev tool interfaces,DM Serif Display
